LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,AQUIFER_TYPE,WLS_WTR_LEVEL,Broader_Classification_Soil,Broad_Soil_Type,SITE_TYPE,WLS_WTR_LEVEL_Categorized,Total Annual Ground Water Recharge,Broader_Classification_Lithology
11.545,92.74583,2021.0,7.74,349.0,0.0,183.0,25.0,1.0,1.0,175.0,34.0,22.0,10.0,0.0,0.84,Confined,90.4,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Deep,76305.69,Mixed
11.6025,92.73,2021.0,7.53,660.0,0.0,262.0,82.0,5.0,1.0,250.0,52.0,29.0,51.0,1.0,0.28,Confined,14.66,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,48838.51,Mixed
11.62083,92.73028,2021.0,7.5,270.0,0.0,116.0,35.0,1.0,0.0,125.0,4.0,28.0,10.0,1.0,0.46,Semi-Confined,27.8,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,48838.51,Mixed
11.7325,92.70861,2021.0,7.6,311.0,0.0,159.0,39.0,2.0,0.0,135.0,26.0,17.0,15.0,2.0,0.37,Semi-Confined,19.76,Loamy,Loamy,Bore Well,Artesian,35828.29,Mixed
11.66361,92.65806,2021.0,7.82,2501.0,0.0,512.0,560.0,56.0,5.0,465.0,56.0,79.0,336.0,18.0,0.95,Unconfined,1.02,Loamy,Loamy,Dug Well,Shallow,35828.29,Mixed
11.55778,92.72917,2021.0,7.71,264.0,0.0,153.0,35.0,1.0,1.0,130.0,26.0,16.0,15.0,0.0,0.57,Confined,15.15,Clayey,Clayey,Bore Well,Artesian,48838.51,Mixed
11.6075,92.72556,2021.0,7.79,535.0,0.0,323.0,28.0,1.0,1.0,245.0,38.0,36.0,19.0,0.0,0.41,Semi-Confined,5.23,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Shallow,186765.62,Mixed
11.71167,92.67111,2021.0,7.78,440.0,0.0,226.0,39.0,1.0,1.0,190.0,36.0,24.0,22.0,2.0,0.69,Unconfined,10.06,Clayey,Clayey,Bore Well,Artesian,186765.62,Mixed
12.50611,92.90861,2021.0,7.92,592.0,0.0,317.0,35.0,1.0,0.0,265.0,34.0,44.0,15.0,2.0,0.32,Unconfined,3.23,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,186765.62,Mixed
12.50417,92.85833,2021.0,7.78,456.0,0.0,226.0,21.0,5.0,2.0,205.0,38.0,27.0,14.0,7.0,0.6,Unconfined,2.5,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,186765.62,Mixed
12.49444,92.95417,2021.0,7.78,531.0,0.0,323.0,25.0,2.0,1.0,245.0,36.0,38.0,14.0,1.0,0.68,Semi-Confined,10.22,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,186765.62,Mixed
12.60667,92.94917,2021.0,7.29,506.0,0.0,275.0,32.0,0.0,0.0,215.0,32.0,33.0,14.0,1.0,0.66,Unconfined,4.95,Loamy,Loamy,Bore Well,Shallow,186765.62,Mixed
12.83278,92.85917,2021.0,7.75,431.0,0.0,220.0,25.0,1.0,1.0,195.0,20.0,35.0,18.0,1.0,0.4,Semi-Confined,2.49,Loamy,Loamy,Bore Well,Shallow,35828.29,Mixed
11.55972,92.65861,2021.0,7.22,147.0,0.0,49.0,25.0,0.0,0.0,50.0,16.0,2.0,9.0,1.0,0.37,Unconfined,1.12,Loamy,Loamy,Dug Well,Shallow,186765.62,Mixed
12.16833,92.76694,2021.0,7.83,548.0,0.0,293.0,28.0,1.0,1.0,200.0,26.0,33.0,35.0,1.0,0.49,Unconfined,2.31,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,186765.62,Mixed
12.16139,92.79,2021.0,7.59,253.0,0.0,122.0,28.0,1.0,1.0,110.0,22.0,13.0,11.0,2.0,0.47,Unconfined,4.7,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Shallow,186765.62,Mixed
12.34917,92.77417,2021.0,7.9,626.0,0.0,342.0,28.0,1.0,1.0,240.0,26.0,43.0,48.0,1.0,0.38,Unconfined,8.03,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,76305.69,Mixed
12.49556,92.78111,2021.0,7.7,349.0,0.0,189.0,25.0,1.0,1.0,150.0,22.0,23.0,16.0,3.0,0.7,Confined,27.8,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,186765.62,Mixed
12.52278,92.81389,2021.0,7.38,186.0,0.0,92.0,21.0,0.0,1.0,80.0,22.0,6.0,9.0,2.0,0.48,Unconfined,6.63,Rocky/Gravelly,Rocky/Gravelly,Dug Well,Shallow,76305.69,Mixed
12.95417,92.83556,2021.0,7.61,579.0,0.0,238.0,60.0,6.0,8.0,195.0,36.0,26.0,50.0,7.0,0.34,Confined,90.4,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Deep,76305.69,Mixed
13.13944,92.86806,2021.0,7.38,387.0,0.0,195.0,21.0,2.0,1.0,115.0,32.0,9.0,44.0,3.0,0.31,Unconfined,1.32,Clayey,Clayey,Dug Well,Shallow,186765.62,Mixed
13.15472,92.94833,2021.0,7.31,278.0,0.0,177.0,21.0,1.0,3.0,145.0,14.0,27.0,9.0,1.0,0.43,Unconfined,10.56,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Artesian,35828.29,Mixed
13.27333,93.03194,2021.0,7.54,475.0,0.0,238.0,35.0,11.0,4.0,190.0,38.0,23.0,32.0,2.0,0.39,Confined,199.35,Rocky/Gravelly,Rocky/Gravelly,Bore Well,Deep,35828.29,Mixed
13.27583,92.96667,2021.0,7.29,360.0,0.0,134.0,21.0,38.0,2.0,120.0,28.0,12.0,32.0,5.0,0.54,Unconfined,1.15,Loamy,Loamy,Dug Well,Shallow,122407.34,Mixed
13.25222,92.97417,2021.0,7.55,844.0,0.0,329.0,28.0,86.0,7.0,355.0,56.0,52.0,42.0,2.0,0.34,Semi-Confined,3.64,Loamy,Loamy,Bore Well,Shallow,122407.34,Mixed
12.7575,92.8725,2021.0,7.69,366.0,0.0,220.0,18.0,2.0,0.0,175.0,36.0,21.0,14.0,2.0,0.57,Unconfined,3.9,Clayey,Clayey,Dug Well,Shallow,186765.62,Mixed
11.67167,92.74667,2021.0,7.77,378.0,0.0,220.0,25.0,1.0,0.0,195.0,42.0,22.0,11.0,2.0,0.38,Unconfined,10.6,Clayey,Clayey,Dug Well,Artesian,186765.62,Mixed
